names,sex,age,has_high_education,relation,sbj_0_1,sbj_0_2,sbj_0_3,sbj_0_4,sbj_0_5,sbj_0_6,sbj_0_7,sbj_0_8,sbj_0_11,sbj_0_12,sbj_0_14,sbj_0_15,sbj_0_16,sbj_0_21,sbj_0_22,sbj_0_24,sbj_0_25,sbj_0_26,sbj_0_28,sbj_0_29,sbj_0_30
Alexandra,1.0,28,0,0,0.06670717120593914,0.02772615437709445,0.01967005727875269,0.1387645980904721,0.04359284709091404,0.03253003419938806,0.04008417553750697,0.01086731003462996,0.014852143992912294,0.06810268335192726,0.02620340273385689,0.05558424659585614,0.013962720235960268,0.049366567517877935,0.017104422106848954,0.05834217161834063,0.12684267049897133,0.020100868697564608,0.009253375079511766,0.025059519820263502,0.026307300279320368
Valentina,1.0,70,1,4,0.1084901731114878,0.037238407034155374,0.0027335406913220565,0.0012051993005820394,0.0504141114055796,0.004318705442346991,0.041163932591703256,6.92745747002219e-11,0.03109710833439216,0.07656132925482292,0.015161165826703956,0.008980111771051836,0.0002437579040540564,0.032315237055275475,0.00036379026389975184,0.00010988745678529272,0.2942245328468606,0.052787299263968926,0.07502988450129612,0.01018484041841618,0.0062145752080805215
Vadim,2.0,50,1,0,0.05688832331988498,0.07053409251034784,0.07953233258042869,0.031537238801743736,0.11289279527514386,0.015277850387386431,0.03946441377777207,2.2709142904358772e-05,0.003504246886953349,0.0033314866764087877,0.04185404431188911,0.02498149197870525,0.08388819966677892,0.006971126039883482,0.0216079711442194,0.0683984096635387,0.024362550116822087,0.1717043406026308,0.004207133442385077,0.07179070307001358,0.019755846095316425
Viktoria,1.0,31,1,0,0.10945186098544007,0.053672967815572264,0.047597807854090936,0.029489252360484757,0.08997655321798095,0.024761450484737255,0.0331137354642466,0.0057087425305682405,0.016208292830199915,0.05621428663991955,0.018728344861930226,0.0439148683318192,0.022403506525827142,0.04942918452293588,0.03121200049890005,0.03585278533395805,0.06571408807035076,0.08399847487323803,0.02424745511870109,0.0511547748958163,0.035644430397241064
Ilana,1.0,0,0,0,0.27658993938897863,0.019533478261636646,0.03614941065701818,0.0003077639126091956,0.06029434210636304,0.02723017250670815,0.1640652073754682,0.0009570189560838373,0.005311625888247665,0.018236326461788792,0.017548705482210887,0.11423294415992227,0.03330453461497005,0.05545346510359174,0.029626883987998412,0.003227158674407717,0.01102881104154373,0.06290664022259439,0.01611794917448638,0.027552072987198185,0.00122462110132968
Vladislav,2.0,26,0,0,0.18429071459047794,0.04487413615670638,0.0882441233273232,0.012006441108562891,0.01113182341888863,0.0458434164384935,0.1746711344037327,0.016259118579482756,0.01576943036930194,0.0172387022443532,0.012403552103226238,0.045992889329654174,0.010574117258121846,0.0133522860775686,0.021214301216238674,0.0007922120730575722,0.1174035312275048,0.011386771222819914,0.033602557881200604,0.009030715753728788,0.02325443321066779
Polina,1.0,30,0,4,0.08162318145306628,0.13398900659020602,0.028376785405712424,0.012565867205146013,0.04692813927738143,0.05561132501749372,0.034117728973748984,0.008111565944479484,0.02634198068810031,0.01822666462596857,0.023185553789858475,0.0425225375766856,0.012365902972903405,0.02811928199504037,0.028895469447719806,0.05144081719309765,0.08681861117335249,0.04659791316278468,0.054796424850601835,0.10008297788823432,0.017754093984269668
Rena,1.0,38,0,0,0.09343010345291856,0.021663791703867324,0.0018574500536374056,0.010050582568897105,0.0165742019578775,0.034368405800886674,0.0631152531424312,0.026791515012777392,0.02458080444237104,0.023661805293133758,0.02404205115205254,0.045523173783609344,0.004249593259107843,0.030775312419179232,0.020494234295316653,0.08112861331765231,0.1901735629619703,0.046172493367112384,0.022275601616127728,0.01233110959547387,0.028204014286485963
